2013,3,117,166,140,150
2013,3,131,165,152,163
2013,3,141,173,128,172
2013,3,169,182,3,181
2013,3,169,169,3,187
2013,3,174,183,163,204
2013,3,194,195,192,218
2013,3,208,212,203,222
2013,3,213,207,195,208
2013,3,203,198,185,225
2013,3,209,216,203,235
2013,3,222,256,217,263
2013,3,228,263,235,274
2013,3,227,269,242,275
2013,3,236,260,229,302
2013,3,245,266,202,225
2013,3,176,227,184,220
2013,3,168,212,169,207
2013,3,155,212,153,202
2013,3,152,196,145,200
2013,3,154,205,148,206
2013,3,190,199,156,202
2013,3,193,203,152,203
2013,3,185,204,176,196
2013,3,138,191,138,188
2013,3,177,186,167,187
2013,3,182,181,172,204
2013,3,198,195,189,233
2013,3,221,235,204,259
2013,3,240,249,227,267
2013,3,245,250,237,246
2013,3,239,252,232,247
2013,3,240,243,232,257
2013,3,244,244,235,257
2013,3,247,247,238,257
2013,3,248,240,234,249
2013,3,246,238,234,245
2013,3,251,236,231,242
2013,3,245,240,226,239
2013,3,253,243,228,240
2013,3,250,265,230,238
2013,3,242,287,227,338
2013,3,242,354,291,334
2013,3,242,355,314,344
2013,3,261,356,318,351
2013,3,292,342,300,331
2013,3,300,333,281,327
2013,3,289,290,253,306
2013,3,260,281,258,289
2013,3,288,340,299,363
2013,3,312,404,363,306
2013,3,295,333,332,293
2013,3,308,315,317,279
2013,3,243,260,214,230
2013,3,214,213,150,201
2013,3,206,180,195,200
2013,3,184,175,178,294
2013,3,258,229,203,510
2013,3,438,429,403,516
2013,3,520,468,490,469
2013,3,488,494,493,450
2013,3,450,476,396,397
2013,3,362,456,346,365
2013,3,322,407,312,364
2013,3,308,365,303,357
2013,3,296,346,294,357
2013,3,123,348,291,350
2013,3,3,343,288,337
2013,3,3,327,284,323
2013,3,311,320,279,306
2013,3,200,148,157,139
2013,3,108,117,105,95
2013,3,159,223,184,189
2013,3,203,366,332,410
2013,3,163,140,155,145
2013,3,111,96,86,99
2013,3,52,83,85,87
2013,3,88,90,88,93
2013,3,58,95,90,95
2013,3,57,98,59,101
2013,3,87,91,63,97
2013,3,48,82,82,89
2013,3,50,84,51,87
2013,3,58,98,61,105
2013,3,64,103,72,114
2013,3,74,113,77,119
2013,3,81,129,84,129
2013,3,104,122,114,122
2013,3,113,111,106,122
2013,3,110,103,108,124
2013,3,114,122,114,136
2013,3,151,142,130,141
2013,3,94,57,62,33
2013,3,77,49,62,42
2013,3,43,59,45,32
2013,3,42,52,47,40
2013,3,38,39,36,32
2013,3,22,27,15,19
2013,3,17,16,15,16
2013,3,23,10,12,13
2013,3,13,10,12,16
2013,3,13,9,14,12
2013,3,12,11,12,10
2013,3,9,9,14,18
2013,3,9,8,9,12
2013,3,13,15,3,12
2013,3,3,15,3,15
2013,3,3,19,14,18
2013,3,13,27,16,20
2013,3,3,43,6,18
2013,3,18,44,26,22
2013,3,22,43,23,27
2013,3,29,39,25,26
2013,3,29,32,29,27
2013,3,29,24,26,29
2013,3,25,24,27,27
2013,3,31,32,36,33
2013,3,28,26,36,32
2013,3,35,29,32,33
2013,3,35,33,32,35
2013,3,42,35,32,33
2013,3,40,34,38,37
2013,3,45,44,41,42
2013,3,50,47,52,59
2013,3,60,57,60,67
2013,3,74,72,74,80
2013,3,78,63,73,75
2013,3,81,85,78,87
2013,3,86,76,79,88
2013,3,92,71,79,81
2013,3,103,83,91,106
2013,3,104,95,94,103
2013,3,105,106,101,118
2013,3,104,99,99,111
2013,3,106,94,93,110
2013,3,99,95,88,102
2013,3,83,95,87,94
2013,3,98,108,94,105
2013,3,102,108,104,122
2013,3,118,130,116,155
2013,3,119,136,131,150
2013,3,3,146,148,156
2013,3,89,130,134,134
2013,3,121,130,105,114
2013,3,106,101,108,114
2013,3,114,113,110,120
2013,3,140,133,130,153
2013,3,141,136,137,148
2013,3,150,136,145,162
2013,3,165,163,154,164
2013,3,178,154,151,158
2013,3,136,127,115,117
2013,3,103,121,99,108
2013,3,98,116,109,114
2013,3,115,128,122,135
2013,3,125,132,123,131
2013,3,120,126,123,135
2013,3,113,138,128,137
2013,3,131,130,125,150
2013,3,133,141,134,153
2013,3,124,140,107,145
2013,3,116,123,116,127
2013,3,117,116,114,130
2013,3,110,133,101,161
2013,3,146,148,122,164
2013,3,158,153,125,167
2013,3,151,151,148,148
2013,3,134,140,137,153
2013,3,134,119,123,147
2013,3,136,132,108,150
2013,3,138,137,134,152
2013,3,123,144,140,164
2013,3,123,149,142,159
2013,3,140,181,130,176
2013,3,133,182,166,174
2013,3,123,173,163,194
2013,3,101,127,128,114
